666,666,666,666,666,666,666,666,666,666,666,develop,test,result
10978386,19322290.1024sj.com,参考,旅行,旅行,旅行,2023-09-01 09:32:13,1,,,0,Travel,Business,no
10978365,360mkw.com,文学小说,文学小说,文学小说,文学小说,2023-09-01 09:32:13,1,,,0,Literature,Education,no
10978391,3g.163.com/auto,门户网站与导航,门户网站与导航,门户网站与导航,门户网站与导航,2023-09-01 09:32:13,1,,,0,Portal-Navigation,Search Engines and Portals,no
10978409,69games.xxx,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978348,77313.com,游戏,游戏,游戏,游戏,2023-09-01 09:32:13,1,,,0,Games,Games,yes
10978492,apple.com/apple-pay,网上支付,网上支付,网上支付,网上支付,2023-09-01 09:32:13,1,,,0,Online Payment,Information Technology,no
10978410,avn.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Other Adult Materials,no
10978411,badoinkvr.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978502,bbs.zbbzgl.com,商业,商业,商业,商业,2023-09-01 09:32:13,1,,,0,Business,Business,yes
10978412,bdsmstreak.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978413,bigassporn.tv,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978414,bongacams.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978366,book.douban.com/,文学小说,文学小说,文学小说,文学小说,2023-09-01 09:32:13,1,,,0,Literature,Shopping,no
10978392,dl.bqqm.com,门户网站与导航,门户网站与导航,门户网站与导航,门户网站与导航,2023-09-01 09:32:13,1,,,0,Portal-Navigation,Business,no
10978415,dollbobo.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978416,fantasti.cc,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978524,fhedu.tv,教育,教育,教育,教育,2023-09-01 09:32:13,1,,,0,Education,Education,yes
10978417,gamcore.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978503,gls-group.eu,商业,商业,商业,商业,2023-09-01 09:32:13,1,,,0,Business,Business,yes
10978418,h2porn.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978419,handjobhub.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978420,hentaicore.org,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978421,hentaigasm.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978422,hentaihaven.org,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978423,hentaipulse.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978424,hentaisea.com/en,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978425,here.xxx,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978426,hooligapps.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978427,iporntv.net,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978428,jdforum.net,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978429,jerkdolls.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978430,jerkmate.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978514,jsgsj.jinshan.gov.cn,政府网站,政府网站,政府网站,政府网站,2023-09-01 09:32:13,1,,,0,Government,Government and Legal Organizations,yes
10978515,lianyun.yuexi.gov.cn,政府网站,政府网站,政府网站,政府网站,2023-09-01 09:32:13,1,,,0,Government,Government and Legal Organizations,yes
10978431,lovehomeporn.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978393,m.cctv.com/ent,门户网站与导航,门户网站与导航,门户网站与导航,门户网站与导航,2023-09-01 09:32:13,1,,,0,Portal-Navigation,News and Media,no
10978394,m.cctv.com/pic,门户网站与导航,门户网站与导航,门户网站与导航,门户网站与导航,2023-09-01 09:32:13,1,,,0,Portal-Navigation,News and Media,no
10978535,m.dajie.com/job,求职招聘,求职招聘,求职招聘,求职招聘,2023-09-01 09:32:13,1,,,0,Jobs,Job Search,no
10978432,manporn.xxx,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978571,msftconnecttest.com,IT类,软件技术,软件技术,软件技术,2023-09-01 09:32:13,1,,,0,Software Technology,Information Technology,no
10978433,mypornbible.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978434,myporngay.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978544,news.163.com/history,新闻,新闻,新闻,新闻,2023-09-01 09:32:13,1,,,0,News,News and Media,yes
10978545,news.baidu.com/society,新闻,新闻,新闻,新闻,2023-09-01 09:32:13,1,,,0,News,News and Media,yes
10978435,nubiles.net,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978436,onlinefreechat.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978437,porcore.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978438,porndoe.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978439,pornplanner.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Pornography,yes
10978574,ruixin360.cn,科学,科学,科学,科学,2023-09-01 09:32:13,1,,,0,Science,Society and Lifestyles,no
10978440,sexdollgenie.com,色情,色情,色情,色情,2023-09-01 09:32:13,1,,,0,Porn,Other Adult Materials,no
10978510,so86-001.co.bokee.net,博客,博客,博客,博客,2023-09-01 09:32:13,1,,,0,Blog,Business,no
